index,format,width,height,palette,lutMode,bitsPerTexel,tmemBitOffset,decodes,uniformWhite
0,CI 4bit,64,64,0,2,4,0,4840,False
1,CI 4bit,64,64,0,2,4,0,1760,False
2,CI 4bit,32,32,0,2,4,0,1539,False
3,CI 4bit,32,32,0,2,4,0,659,False
4,CI 4bit,32,32,0,2,4,0,659,False
5,CI 4bit,32,32,0,2,4,0,659,False
6,CI 4bit,32,32,0,2,4,0,659,False
7,CI 8bit,40,48,4,2,8,0,659,False
8,CI 4bit,32,32,0,2,4,0,657,False
9,CI 4bit,16,8,0,2,4,0,626,False
10,CI 4bit,16,8,0,2,4,0,605,False
11,CI 4bit,16,8,0,2,4,0,539,False
12,CI 4bit,16,8,0,2,4,0,534,False
13,CI 4bit,64,64,0,2,4,0,440,False
14,CI 4bit,64,64,0,2,4,0,440,False
15,CI 4bit,64,64,0,2,4,0,440,False
16,CI 4bit,32,32,0,2,4,0,440,False
17,CI 4bit,64,64,0,2,4,0,440,False
18,CI 8bit,32,48,12,2,8,0,440,False
19,CI 8bit,32,40,12,2,8,0,440,False
20,CI 8bit,32,48,12,2,8,0,440,False
21,CI 8bit,32,48,12,2,8,0,439,False
22,CI 8bit,32,48,12,2,8,0,378,False
23,CI 8bit,24,40,12,2,8,0,336,False
24,CI 8bit,32,48,12,2,8,0,336,False
25,CI 4bit,16,12,0,2,4,0,253,True
26,CI 4bit,64,64,0,2,4,0,218,False
27,CI 4bit,32,32,0,2,4,0,218,False
28,CI 8bit,32,40,12,2,8,0,180,False
29,CI 8bit,32,40,12,2,8,0,180,False
30,CI 8bit,32,48,12,2,8,0,166,False
31,CI 8bit,24,40,12,2,8,0,104,False
32,CI 8bit,32,40,12,2,8,0,80,False
33,CI 4bit,32,32,0,2,4,0,1,False
34,CI 4bit,64,64,0,2,4,0,1,False
